Départment,Produit,Catégorie,Prix,Quantité,Date d'achat,Localisation,Fournisseur,Unité
Administration,Staplers,Office Supplies,7.49,25,2024-12-02,New York Office,OfficeTools LLC,Piece
Administration,Staples,Office Supplies,3.99,200,2024-12-02,New York Office,OfficeSuppliesCo,Box
Administration,Paper Clips,Office Supplies,1.99,300,2024-12-03,New York Office,OfficeMart,Box
Administration,Post-It Notes (Yellow),Office Supplies,10.99,150,2024-12-04,New York Office,PaperProductsCo,Pack
Administration,Post-It Notes (Assorted),Office Supplies,12.49,100,2024-12-04,New York Office,PaperProductsCo,Pack
Administration,Envelopes (Letter Size),Office Supplies,9.99,500,2024-12-05,New York Office,PaperSupply Inc.,Pack
Administration,File Folders (Manila),Office Supplies,6.5,100,2024-12-06,New York Office,FileCo,Box
Administration,File Folders (Colored),Office Supplies,8.0,75,2024-12-06,New York Office,FileCo,Box
Administration,Binders (3-ring),Office Supplies,3.99,20,2024-12-08,New York Office,OfficeTools LLC,Piece
Administration,Binder Clips,Office Supplies,2.99,200,2024-12-09,New York Office,OfficeTools LLC,Box
Administration,Rubber Bands,Office Supplies,1.79,500,2024-12-09,New York Office,OfficeMart,Box
Administration,Scissors (Office),Office Supplies,6.0,15,2024-12-10,New York Office,OfficeMart,Piece
Administration,Whiteboard Markers,Office Supplies,12.0,30,2024-12-11,New York Office,WriteRight Co.,Pack
Administration,Highlighter Pens (Yellow),Office Supplies,4.5,50,2024-12-12,New York Office,OfficeTools LLC,Pack
Administration,Ballpoint Pens (Black),Office Supplies,15.0,300,2024-12-12,New York Office,OfficeSupply Inc.,Box
Administration,Ballpoint Pens (Blue),Office Supplies,15.0,300,2024-12-13,New York Office,OfficeSupply Inc.,Box
Administration,Office Desks (Wooden),Office Furniture,199.99,15,2024-11-10,New York Office,OfficeFurnitureCo,Piece
Administration,Adjustable Office Chairs,Office Furniture,99.99,25,2024-11-12,New York Office,ChairMasters Inc.,Piece
Administration,Ergonomic Office Chairs,Office Furniture,149.99,20,2024-11-15,New York Office,ChairMasters Inc.,Piece
Administration,Filing Cabinets (2-drawer),Office Furniture,99.99,10,2024-11-16,New York Office,FilingSolutions,Piece
Administration,Filing Cabinets (4-drawer),Office Furniture,149.99,5,2024-11-17,Admin Dept,FilingSolutions,Piece
Library,Office Bookcases,Office Furniture,129.99,8,2024-11-18,New York Office,FurniturePlus,Piece
Administration,Storage Cabinets (Wood),Office Furniture,199.99,8,2024-12-06,New York Office,OfficeStorage,Piece
Administration,File Sorters,Office Furniture,29.99,15,2024-12-31,New York Office,FileCo,Piece
Administration,Desk Organizers,Office Furniture,12.99,40,2024-12-31,New York Office,StoragePlus,Piece
Administration,Phone Holders,Office Furniture,5.99,60,2024-12-31,New York Office,TechTools,Piece
Human Resources,Time Clocks,Office Equipment,159.99,6,2024-12-19,HR Dept,ClockWorks,Piece
Facilities,Shredding Bins,Office Equipment,12.99,25,2024-12-20,Facilities Dept,ShredWorks,Piece
Facilities,Office Lighting (LED),Office Furniture,29.99,30,2024-12-10,New York Office,LightWorks,Piece
Administration,Floor Mats (Anti-Fatigue),Office Furniture,29.99,30,2024-12-22,New York Office,MatsPlus,Piece
Administration,Desktop Organizers,Office Furniture,7.99,100,2024-12-23,New York Office,OfficeSuppliesCo,Piece
Facilities,Recycling Bins,Office Furniture,8.99,30,2024-12-31,Facilities Dept,StorageWorks,Piece
Facilities,Coat Racks,Office Furniture,49.99,10,2024-12-03,Admin Department,StoragePlus,Piece
Facilities,Office Lighting (LED),Office Furniture,29.99,30,2024-12-10,New York Office,LightWorks,Piece
Facilities,Floor Mats (Anti-Fatigue),Office Furniture,29.99,30,2024-12-22,New York Office,MatsPlus,Piece
Facilities,Shredding Bins,Office Equipment,12.99,25,2024-12-20,Facilities Dept,ShredWorks,Piece
Facilities,Recycling Bins,Office Furniture,8.99,30,2024-12-31,Facilities Dept,StorageWorks,Piece
Facilities,Window Blinds,Office Furniture,19.99,50,2024-12-31,Facilities Dept,WindowStyle,Piece
Facilities,Waste Bins,Office Furniture,7.99,40,2024-12-31,Facilities Dept,StorageWorks,Piece
Facilities,Floor Cleaning Machines,Office Furniture,499.99,3,2024-12-31,Facilities Dept,CleanPro,Piece
Human Resources,Time Clocks,Office Equipment,159.99,6,2024-12-19,HR Dept,ClockWorks,Piece
Human Resources,Employee Badges,Office Supplies,1.99,200,2024-11-30,HR Dept,BadgeCo,Pack
Human Resources,Desk Nameplates,Office Furniture,19.99,15,2024-11-20,HR Dept,OfficeNameplates Inc.,Piece
Human Resources,Office Chairs (Ergonomic),Office Furniture,129.99,30,2024-11-21,HR Dept,ChairMasters Inc.,Piece
Human Resources,Personalized Notebooks,Office Supplies,8.99,50,2024-11-22,HR Dept,CustomNotebooks Co.,Piece
Human Resources,Ergonomic Footrests,Office Furniture,39.99,20,2024-11-23,HR Dept,OfficeTools Co.,Piece
Human Resources,Bulletin Boards,Office Furniture,59.99,5,2024-12-02,HR Dept,OfficeFurnitureCo,Piece
Human Resources,Employee Wellness Kits,Office Supplies,29.99,50,2024-12-01,HR Dept,WellnessKit Co.,Set
Human Resources,First Aid Kits,Office Supplies,19.99,10,2024-12-05,HR Dept,HealthCare Supply Co.,Set
Human Resources,Confidential Waste Bins,Office Equipment,12.99,15,2024-12-06,HR Dept,SecureBin Co.,Piece
Human Resources,Telemedicine Kits,Office Supplies,99.99,5,2024-12-10,HR Dept,HealthTech Solutions,Set
Human Resources,Employee Survey Forms,Office Supplies,14.99,500,2024-12-12,HR Dept,SurveyWorks,Pack
Human Resources,HR Policy Handbooks,Office Supplies,4.99,100,2024-12-13,HR Dept,Handbook Co.,Piece
Human Resources,Privacy Screens for Desks,Office Furniture,39.99,10,2024-12-14,HR Dept,OfficePartitions Inc.,Piece
Human Resources,Standing Desk Converters,Office Furniture,179.99,10,2024-12-13,HR Dept,DeskPro Inc.,Piece
Human Resources,Employee Parking Permits,Office Supplies,2.99,100,2024-12-15,HR Dept,PermitWorks,Pack
Human Resources,Workplace Safety Posters,Office Supplies,12.99,20,2024-12-16,HR Dept,SafetySigns Co.,Piece
Human Resources,Workplace Stress Relief Balls,Office Supplies,4.99,100,2024-12-17,HR Dept,StressFree Co.,Piece
Human Resources,Employee Recognition Plaques,Office Supplies,24.99,30,2024-12-18,HR Dept,EngravingWorks,Piece
Human Resources,Company Event Flyers,Office Supplies,19.99,500,2024-12-19,HR Dept,PromoPrints,Pack
Human Resources,Employee Handbook Holders,Office Furniture,14.99,10,2024-12-20,HR Dept,StorageWorks,Piece
Human Resources,Noise-Canceling Headphones,Electronics,79.99,10,2024-12-21,HR Dept,AudioTech Co.,Piece
Human Resources,Personalized Coffee Mugs,Office Supplies,9.99,50,2024-12-22,HR Dept,MugWorks,Piece
IT,Ink Cartridges (Black),Office Supplies,19.99,50,2024-11-25,IT Department,TechSupply Inc.,Cartridge
IT,Ink Cartridges (Color),Office Supplies,22.99,30,2024-11-25,IT Department,TechSupply Inc.,Cartridge
IT,Desktop Computers,Electronics,499.99,25,2024-11-15,IT Department,TechSupply Inc.,Piece
IT,Laptops,Electronics,999.99,40,2024-11-16,IT Department,Computech Ltd.,Piece
IT,Computer Mice (Wireless),Electronics,20.0,60,2024-11-17,IT Department,GadgetWorks Co.,Piece
IT,Computer Mice (Wired),Electronics,15.99,40,2024-11-18,IT Department,GadgetWorks Co.,Piece
IT,Keyboards (Wireless),Electronics,29.99,50,2024-11-19,IT Department,TechSupply Inc.,Piece
IT,Keyboards (Wired),Electronics,22.0,30,2024-11-19,IT Department,TechSupply Inc.,Piece
IT,Monitors (24-inch),Electronics,189.99,20,2024-11-20,IT Department,VisionTech Corp.,Piece
IT,Monitors (27-inch),Electronics,249.99,15,2024-11-21,IT Department,VisionTech Corp.,Piece
IT,External Hard Drives (1TB),Electronics,69.99,10,2024-11-22,IT Department,DataStorage Co.,Piece
IT,External Hard Drives (2TB),Electronics,89.99,5,2024-11-23,IT Department,DataStorage Co.,Piece
IT,USB Flash Drives (16GB),Electronics,7.99,50,2024-11-23,IT Department,FlashTech Inc.,Piece
IT,USB Flash Drives (32GB),Electronics,10.99,30,2024-11-24,IT Department,FlashTech Inc.,Piece
IT,Webcams,Electronics,35.99,15,2024-11-25,IT Department,TechVision Co.,Piece
IT,Headsets (USB),Electronics,45.0,20,2024-11-26,IT Department,AudioTech Ltd.,Piece
IT,Wireless Routers,Electronics,75.0,10,2024-11-29,IT Department,NetSolutions Co.,Piece
IT,Smartphones,Electronics,599.99,15,2024-12-30,IT Department,MobileTech Inc.,Piece
IT,Ergonomic Keyboards,Electronics,129.99,20,2024-12-31,IT Department,TechSupply Inc.,Piece
IT,Ergonomic Mouse,Electronics,49.99,40,2024-12-31,IT Department,MouseTech Co.,Piece
Design,3D Printers,Electronics,799.99,4,2024-12-31,Design Dept,PrintWorks,Piece
Design,Graphic Tablets,Electronics,199.99,10,2024-12-31,Design Dept,ArtTech Co.,Piece
IT,Document Scanners,Office Equipment,249.99,20,2024-12-31,IT Department,ScanTech Co.,Piece
IT,External Keyboards,Electronics,19.99,50,2024-12-28,IT Department,TechSupply Inc.,Piece
IT,Tablet Stands,Electronics,15.99,25,2024-12-25,IT Department,TechWorks,Piece
IT,Laptop Stands,Electronics,22.99,20,2024-12-27,IT Department,GadgetWorks Co.,Piece
IT,Power Banks,Electronics,25.99,30,2024-12-26,IT Department,PowerTech,Piece
Marketing,Portable Speakers,Electronics,89.99,10,2024-12-29,Marketing Dept,SoundWorks,Piece
Marketing,Smart Whiteboards,Electronics,999.99,6,2024-12-31,Marketing Dept,TechBoards,Piece
Marketing,Branded T-Shirts,Apparel,8.99,200,2024-12-01,Marketing Dept,PromoApparel Co.,Piece
Marketing,Branded Pens,Office Supplies,0.99,500,2024-12-02,Marketing Dept,PromoTools,Piece
Marketing,Custom Stickers,Office Supplies,0.25,1000,2024-12-03,Marketing Dept,StickerWorks,Sheet
Marketing,Trade Show Banners,Marketing Materials,150.0,5,2024-12-04,Marketing Dept,PrintTech,Piece
Marketing,Posters (Promotional),Marketing Materials,2.99,200,2024-12-05,Marketing Dept,PrintWorks,Piece
Marketing,Branded Mugs,Office Supplies,9.99,100,2024-12-06,Marketing Dept,MugWorks,Piece
Marketing,Event Badges,Office Supplies,1.5,500,2024-12-07,Marketing Dept,EventPrint Co.,Piece
Marketing,Pop-up Displays,Marketing Materials,250.0,10,2024-12-08,Marketing Dept,DisplayTech,Piece
Marketing,Tablecloths (Branded),Marketing Materials,49.99,10,2024-12-09,Marketing Dept,PromoPrint,Piece
Marketing,Branded Tote Bags,Apparel,5.99,300,2024-12-10,Marketing Dept,PromoApparel Co.,Piece
Marketing,Branded Water Bottles,Office Supplies,6.99,150,2024-12-11,Marketing Dept,BottleWorks,Piece
Marketing,Promotional Flyers,Marketing Materials,0.1,2000,2024-12-12,Marketing Dept,PromoPrint,Piece
Marketing,Custom Calendars,Office Supplies,12.99,100,2024-12-13,Marketing Dept,CalendarWorks,Piece
Marketing,Magnetic Whiteboards,Office Furniture,99.99,5,2024-12-14,Marketing Dept,WriteRight Co.,Piece
Marketing,Desk Clocks (Branded),Office Furniture,24.99,20,2024-12-15,Marketing Dept,TimeWorks,Piece
Marketing,Customized USB Drives,Electronics,9.99,100,2024-12-16,Marketing Dept,FlashTech Inc.,Piece
Marketing,Custom Notebooks,Office Supplies,7.99,150,2024-12-17,Marketing Dept,CustomNotebooks Co.,Piece
Marketing,Event Stage Banners,Marketing Materials,400.0,5,2024-12-18,Marketing Dept,PrintTech,Piece
Marketing,Custom Mousepads,Office Supplies,4.99,200,2024-12-19,Marketing Dept,PromoTech,Piece
Marketing,Branded Jackets,Apparel,39.99,50,2024-12-20,Marketing Dept,PromoApparel Co.,Piece
Marketing,Laptop Sleeves (Branded),Electronics,12.99,50,2024-12-21,Marketing Dept,TechSupply Inc.,Piece
Marketing,Pop-up Tents,Marketing Materials,299.99,5,2024-12-22,Marketing Dept,TentWorks,Piece
Marketing,Branded Flashlights,Electronics,7.99,100,2024-12-23,Marketing Dept,PromoTech,Piece
Marketing,Promotional Keychains,Office Supplies,1.5,500,2024-12-24,Marketing Dept,PromoTools,Piece
Marketing,Branded Caps,Apparel,6.99,200,2024-12-25,Marketing Dept,PromoApparel Co.,Piece
Marketing,Custom Phone Cases,Electronics,10.99,100,2024-12-26,Marketing Dept,TechCustom Co.,Piece
Marketing,Tote Bags (Eco-friendly),Apparel,3.99,200,2024-12-27,Marketing Dept,PromoApparel Co.,Piece
Marketing,Personalized Wrapping Paper,Office Supplies,12.99,100,2024-12-28,Marketing Dept,WrapIt Co.,Roll
Marketing,Branded Balloons,Marketing Materials,0.5,1000,2024-12-29,Marketing Dept,EventPrint Co.,Piece
Marketing,Custom Lanyards,Office Supplies,2.99,500,2024-12-30,Marketing Dept,EventPrint Co.,Piece
